objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,recipe01.png,,,Cajun Injection for Turkey,"Payne, Shaniece",2000-24,"A flavorful injection blend featuring Cajun spices, perfect for adding a zesty kick to your Thanksgiving turkey.",Seasoning,Iowa,41.8780° N,93.0977° W,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,recipe02.png,,,Turkey Brine,"Payne, Shaniece",2000-24,"A savory brine recipe designed to infuse your turkey with moisture and flavor, ensuring a succulent and tender centerpiece for your holiday table.",Seasoning,Iowa,41.8780° N,93.0977° W,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,recipe03.png,,,Jalapeno Popper Deviled Eggs,"Payne, Shaniece",2000-24,"A spicy twist on classic deviled eggs, featuring creamy jalapeno filling and crispy bacon crumbles for a flavor explosion in every bite.",Appetizer; Snack,Iowa,41.8780° N,93.0977° W,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,recipe04.png,,,Bruschetta,"Payne, Shaniece",2000-24,"A traditional Italian appetizer showcasing ripe tomatoes, fresh basil, garlic, and olive oil atop crusty bread slices, perfect for a light and flavorful start to any meal.",Appetizer; Bread,Iowa,41.8780° N,93.0977° W,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,recipe05.png,,,Summer Salad,"Payne, Shaniece",2000-24,"A refreshing salad bursting with seasonal flavors, including crisp lettuce, juicy tomatoes, crunchy cucumbers, and tangy vinaigrette, ideal for cooling down on hot summer days.",Side; Salad ,Iowa,41.8780° N,93.0977° W,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,recipe06.png,,,Cabbage Soup,"Payne, Shaniece",2000-24,"A hearty and comforting soup packed with tender cabbage, carrots, onions, and potatoes simmered in a flavorful broth, guaranteed to warm you up from the inside out.",Main; Soup,Iowa,41.8780° N,93.0977° W,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,recipe07.png,,,Sopa de Fideo Con Carne,"Payne, Shaniece",2000-24,"A comforting Mexican noodle soup featuring tender beef, aromatic spices, and vermicelli noodles, offering a satisfying and soul-warming meal.",Main; Soup,Iowa,41.8780° N,93.0977° W,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,recipe08.png,,,Collard Greens,"Payne, Shaniece",2000-24,"Classic Southern-style collard greens slow-cooked with smoky bacon, onions, and garlic, resulting in tender and flavorful greens that pair perfectly with your favorite comfort foods.",Side; Main; Dinner,Iowa,41.8780° N,93.0977° W,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,recipe09.png,,,Greek Style Marinated Beef,"Payne, Shaniece",2000-24,"Succulent beef marinated in a blend of Greek herbs and spices, grilled to perfection and bursting with Mediterranean flavors, sure to transport your taste buds to sunny Greece.",Appetizer; Main,Iowa,41.8780° N,93.0977° W,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,recipe10.png,,,Herbs de Provence Chicken,"Payne, Shaniece",2000-24,"Juicy chicken seasoned with the fragrant and aromatic blend of Herbs de Provence, featuring flavors of lavender, thyme, rosemary, and savory, creating a sophisticated and delicious dish.",Main; Dinner,Iowa,41.8780° N,93.0977° W,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll011,recipe11.png,,,Sweet and Spicy Salmon,"Payne, Shaniece",2000-24,"Tender salmon fillets glazed with a sweet and spicy mixture of honey, soy sauce, and chili flakes, baked to perfection for a mouthwatering seafood sensation that's sure to please.",Main; Dinner,Iowa,41.8780° N,93.0977° W,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll012,recipe12.png,,,Honey Chipotle Meatloaf,"Payne, Shaniece",2000-24,"Classic meatloaf with a twist, featuring a sweet and smoky glaze made with honey and chipotle peppers, adding layers of flavor and a hint of heat to this comforting dish.",Main; Dinner,Iowa,41.8780° N,93.0977° W,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll013,recipe13.png,,,Beef and Broccoli Noodles,"Payne, Shaniece",2000-24,"Stir-fried noodles loaded with tender beef strips, crisp broccoli florets, and savory garlic sauce, offering a satisfying and flavorful meal that's ready in no time.",Main; Dinner,Iowa,41.8780° N,93.0977° W,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll014,recipe14.png,,,Chili,"Payne, Shaniece",2000-24,"Hearty chili packed with ground beef, beans, tomatoes, and spices, simmered to perfection for a comforting and flavorful dish that's perfect for chilly nights.",Main; Dinner,Iowa,41.8780° N,93.0977° W,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll015,recipe15.png,,,Lasagna,"Payne, Shaniece",2000-24,"Layers of lasagna noodles, rich meat sauce, creamy ricotta cheese, and melted mozzarella, baked to golden perfection for a classic Italian comfort food favorite.",Main; Dinner,Iowa,41.8780° N,93.0977° W,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll016,recipe16.png,,,Mousse Dessert,"Payne, Shaniece",2000-24,"Light and airy dessert featuring a silky-smooth mousse made with rich chocolate and whipped cream, offering a decadent and indulgent treat for any occasion.","Dessert, Filling",Iowa,41.8780° N,93.0977° W,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
